TIME,SENSOR 1,SENSOR 2,SENSOR 3,SENSOR 4
106,118,99,205,136
107,117,98,206,138
108,119,101,207,140
109,121,103,208,142
110,120,105,208,141
111,120,106,208,140
112,119,105,211,138
113,121,106,210,135
114,122,106,212,136
115,123,108,211,133
116,125,107,212,137
117,126,108,215,140
118,128,107,216,138
119,128,105,218,138
120,130,106,218,135
121,132,109,217,137
122,132,112,220,134
123,134,112,219,137
124,135,111,218,135
125,134,113,219,135
126,133,115,219,139
127,133,113,220,139
128,132,113,221,140
129,133,116,221,143
130,134,118,221,145
131,135,119,221,142
132,134,119,220,140
133,136,121,222,140
134,138,123,224,140
135,137,123,223,140
136,139,125,224,138
137,139,123,227,139
138,140,126,230,137
139,141,126,233,138
140,142,124,236,136
141,142,124,236,136
142,141,127,239,137
143,142,130,238,140
144,141,129,240,141
145,143,127,241,142
146,143,130,241,146
147,143,132,243,143
148,144,135,245,147
149,144,136,247,149
150,145,135,249,151
151,145,135,251,149
152,146,137,252,150
153,148,139,253,147
154,147,142,256,146
155,149,141,259,145
156,150,143,260,148
157,150,146,260,151
158,152,147,262,155
159,152,149,263,159
160,154,147,265,163
161,154,150,265,161
162,156,150,264,158
163,155,149,264,156
164,157,147,266,159
165,159,145,267,162
166,161,144,269,160
167,161,145,271,160
168,162,148,272,157
169,162,148,272,159
170,161,150,271,162
171,161,153,274,163
172,163,156,274,161
173,165,159,277,163
174,167,157,277,166
175,168,158,280,163
176,167,159,281,167
177,169,160,281,170
178,170,161,282,169
179,172,161,285,168
180,171,160,288,169
181,173,163,288,173
182,173,165,290,172
183,175,168,291,176
184,177,169,293,180
185,176,170,294,179
186,175,169,295,183
187,176,169,298,181
188,178,171,298,179
189,178,174,299,180
190,179,173,299,184
191,178,173,298,185
192,177,176,299,182
193,179,176,299,186
194,181,176,298,188
195,181,175,301,187
196,180,173,303,190
197,179,176,304,193
198,180,175,306,191
199,179,176,305,188
200,179,178,305,185
201,180,177,307,183
202,182,178,309,180
203,184,179,309,179
204,185,178,312,180
205,184,179,315,180
206,184,177,318,178
207,183,175,318,175
208,184,173,318,179
209,186,172,321,176
210,185,170,322,174
211,186,173,323,178
212,185,174,324,178
213,186,175,323,178
214,186,177,325,181
215,187,177,324,181
216,186,178,325,180
217,185,180,326,177
218,185,182,325,175
219,184,185,325,172
220,186,188,328,175
221,187,191,330,174
222,186,193,331,173
223,188,191,332,173
224,189,193,334,174
225,190,192,333,177
226,191,192,332,175
227,190,190,332,178
228,192,191,334,176
229,193,190,335,179
230,193,191,338,177
231,194,189,339,177
232,194,192,338,181
233,193,190,337,179
234,192,188,338,176
235,194,186,339,180
236,194,186,342,183
237,194,189,345,187
238,195,187,346,190
239,196,189,348,189
240,197,192,350,191
241,197,192,353,195
242,198,192,354,198
243,198,191,355,200
244,198,193,358,197
245,197,192,361,198
246,196,195,361,201
247,196,194,361,198
248,196,194,361,198
249,197,197,361,196
250,198,198,363,199
251,200,199,365,198
252,199,200,367,199
253,199,199,366,196
254,198,201,368,194
255,199,201,368,192
256,199,202,371,196
257,200,201,372,199
258,200,202,371,200
259,199,201,374,197
260,200,202,377,195
261,202,205,376,192
262,204,206,378,189
263,206,207,380,187
264,205,205,382,187
265,204,206,382,186
266,205,205,382,186
267,204,207,381,190
268,206,208,381,190
269,208,211,383,190
270,209,209,383,191
271,210,209,385,193
272,209,209,384,197
273,210,209,385,198
274,211,209,384,196
275,213,207,384,193
276,215,209,383,194
277,217,208,383,197
278,219,209,383,201
279,220,212,386,198
280,221,215,387,198
281,222,213,386,200
282,221,211,386,201
283,222,213,387,198
284,224,212,390,202
285,224,215,393,203
286,223,213,396,205
287,223,215,398,203
288,225,216,397,200
289,225,214,399,203
290,227,215,402,205
291,227,213,402,203
292,226,212,404,200
293,225,212,404,204
294,224,210,406,208
295,226,212,405,211
296,227,214,406,211
297,226,212,409,210
298,227,214,412,209
299,228,217,412,206
300,227,219,411,203
301,229,218,410,203
302,229,218,409,200
303,228,221,410,200
304,230,220,409,198
305,230,223,408,196
306,229,226,407,196
307,230,224,410,198
308,231,226,411,198
309,230,229,411,198
310,231,230,412,202
311,232,228,412,202
312,233,230,411,202
313,234,228,414,200
314,236,227,417,203
315,235,227,420,200
316,235,228,421,204
317,234,227,424,201
318,234,228,426,200
319,234,229,428,198
320,234,232,429,200
321,236,233,430,199
322,238,234,432,196
323,240,237,432,193
324,242,240,435,191
325,243,239,437,188
326,244,239,437,187
327,246,241,436,186
328,245,242,437,184
329,244,244,438,187
330,243,243,440,185
331,244,244,442,188
332,243,246,445,190
333,242,245,448,189
334,241,243,449,193
335,243,244,451,196
336,243,244,454,200
337,242,244,457,204
338,244,246,459,207
339,246,249,458,208
340,245,251,461,209
341,244,252,461,210
342,245,251,462,207
343,244,252,462,206
344,244,253,464,210
345,243,252,465,207
346,244,254,467,209
347,246,252,468,208
348,247,253,471,206
349,248,254,472,209
350,248,255,475,212
351,247,258,477,214
352,247,260,477,213
353,247,258,476,211
354,249,256,479,208
355,250,259,480,208
356,251,258,483,207
357,251,256,483,209
358,251,258,486,206
359,252,259,488,206
360,253,259,487,210
361,255,260,489,207
362,256,258,490,208
363,257,256,491,207
364,258,259,492,211
365,259,260,492,210
366,260,261,491,209
367,262,259,494,206
368,261,257,494,203
369,261,258,494,205
370,260,256,496,207
371,259,259,499,210
372,261,261,500,208
373,262,261,502,207
374,264,260,505,207
375,263,260,508,207
376,264,261,509,205
377,264,260,509,207
378,266,258,510,205
379,267,256,511,207
380,267,258,510,208
381,269,258,509,208
382,268,257,510,205
383,270,260,513,206
384,272,261,516,206
385,274,262,518,208
386,275,262,518,208
387,276,265,519,212
388,276,265,520,209
389,276,263,520,210
390,275,263,522,208
391,276,261,521,205
392,275,263,520,208
393,277,264,519,208
394,276,266,518,211
395,278,265,518,214
396,277,264,518,214
397,279,266,517,212
398,281,267,517,213
399,281,269,516,211
400,280,271,517,214
401,281,271,518,215
402,281,274,521,217
403,282,275,524,219
404,284,278,523,221
405,285,279,523,219
406,286,278,524,219
407,288,276,526,220
408,287,279,527,218
409,287,280,528,221
410,288,283,530,220
411,287,286,533,224
412,287,287,534,228
413,287,289,533,232
414,288,289,534,236
415,289,288,534,235
416,290,289,536,236
417,291,287,536,239
418,291,287,537,239
419,292,287,539,236
420,292,290,540,237
421,294,289,541,236
422,296,289,543,236
423,297,289,544,240
424,296,290,543,240
425,296,289,546,242
426,296,289,547,242
427,298,292,549,240
428,300,292,550,238
429,302,295,553,237
430,303,296,555,236
431,302,296,556,239
432,302,299,557,242
433,303,300,557,244
434,304,303,557,248
435,305,301,557,249
436,306,301,557,251
437,307,301,560,252
438,307,300,560,256
439,309,299,563,254
440,309,300,565,257
441,310,298,568,256
442,309,299,571,260
443,308,297,573,258
444,309,299,576,259
445,311,299,575,258
446,310,302,575,256
447,310,304,576,257
448,310,306,575,258
449,311,307,574,256
450,311,305,574,259
451,311,305,576,261
452,311,306,575,263
453,312,306,576,262
454,313,309,577,263
455,312,308,576,261
456,311,310,575,262
457,313,313,576,266
458,312,312,577,267
459,314,310,580,268
460,315,312,581,267
461,316,313,583,271
462,315,314,583,268
463,315,317,585,271
464,316,315,588,271
465,317,316,590,271
466,319,314,589,270
467,318,314,588,267
468,320,317,587,264
469,319,320,586,267
470,321,319,587,270
471,322,319,586,272
472,322,322,586,273
473,324,324,588,270
474,325,322,588,270
475,327,324,588,272
476,326,325,587,273
477,327,326,586,270
478,328,327,586,267
479,329,325,587,268
480,328,323,588,265
481,329,325,587,267
482,328,327,588,271
483,328,330,587,275
484,330,328,588,277
485,331,329,590,274
486,333,329,593,274
487,333,332,592,273
488,334,335,591,277
489,335,338,590,278
490,336,339,590,276
491,338,341,592,279
492,339,340,592,283
493,339,340,595,285
494,340,341,598,287
495,339,342,599,290
496,341,345,602,287
497,343,345,605,290
498,343,347,608,292
499,345,348,611,291
500,344,348,613,292
501,344,347,616,296
502,345,347,617,294
503,347,346,620,292
504,349,345,621,296
505,348,347,621,295
506,347,349,620,292
507,347,350,623,296
508,346,349,626,299
509,347,352,628,303
510,347,352,628,303
511,347,351,627,304
512,347,350,630,304
513,348,353,629,302
514,350,352,630,302
515,352,354,632,303
516,353,354,631,305
517,352,356,630,305
518,351,357,633,308
519,353,356,633,308
520,352,358,632,306
521,352,357,634,304
522,352,358,633,306
523,352,356,634,304
524,352,356,633,307
525,354,355,636,304
526,353,356,639,306
527,352,356,641,303
528,354,359,640,305
529,355,359,643,302
530,354,357,646,305
531,353,355,646,308
532,353,353,647,309
533,355,351,648,310
534,355,354,650,308
535,356,356,651,306
536,356,357,654,306
537,358,356,657,304
538,358,359,660,305
539,357,359,660,309
540,356,359,659,308
541,355,359,659,305
542,357,361,662,307
543,359,359,663,306
544,359,358,663,305
545,360,360,666,303
546,359,362,668,306
547,359,360,670,308
548,358,363,669,306
549,358,365,668,305
550,359,367,667,304
551,358,370,667,308
552,358,372,670,305
553,359,371,672,306
554,361,372,675,303
555,363,373,675,301
556,364,374,675,298
557,364,373,675,296
558,366,376,675,294
559,365,379,676,298
560,364,378,675,301
561,363,381,677,300
562,365,381,677,303
563,364,379,680,303
564,365,377,680,302
565,364,380,681,302
566,363,380,682,300
567,363,380,683,300
568,362,382,683,302
569,363,380,682,306
570,365,382,683,305
571,366,385,684,309
572,366,387,684,311
573,365,386,687,312
574,366,387,687,316
575,368,388,690,313
576,367,390,693,313
577,367,392,696,313
578,367,392,698,311
579,369,390,699,314
580,369,393,700,313
581,368,396,701,317
582,370,396,702,320
583,369,395,701,320
584,371,393,704,318
585,370,392,704,317
586,370,395,707,319
587,371,394,708,322
588,370,393,710,326
589,372,391,712,324
590,373,393,712,324
591,372,392,712,322
592,371,391,713,321
593,370,390,713,322
594,370,393,716,320
595,370,396,715,317
596,370,394,715,320
597,370,396,718,324
598,369,395,717,322
599,368,396,716,321
600,370,399,715,320
601,370,398,715,323
602,369,400,714,324
603,369,402,715,325
604,368,402,714,326
605,367,400,716,325
606,367,398,718,323
607,368,396,721,320
608,370,399,720,317
609,372,399,719,314
610,371,400,719,318
611,372,402,719,322
612,373,403,718,322
613,372,401,721,322
614,374,399,722,319
615,373,402,721,316
616,372,405,722,314
617,372,405,722,314
618,372,404,724,318
619,372,406,727,320
620,373,406,727,317
621,373,409,730,320
622,373,408,730,320
623,372,406,730,320
624,372,408,731,320
625,371,409,730,321
626,371,407,730,325
627,370,405,732,326
628,369,404,732,324
629,369,403,734,327
630,371,404,734,331
631,371,406,736,332
632,373,408,737,330
633,374,411,739,333
634,376,411,742,334
635,377,409,744,338
636,378,410,745,342
637,380,410,745,346
638,382,411,748,347
639,384,410,751,350
640,383,411,750,350
641,384,409,751,350
642,386,408,754,347
643,385,408,753,346
644,386,409,752,350
645,387,409,755,354
646,386,409,757,352
647,385,407,757,350
648,384,405,759,353
649,385,403,762,350
650,385,402,764,351
651,387,400,767,348
652,386,403,767,345
653,386,405,768,343
654,385,404,771,342
655,385,406,773,345
656,385,407,772,348
657,386,405,773,347
658,387,405,772,347
659,386,404,774,348
660,386,405,776,347
661,388,407,776,347
662,388,409,776,346
663,387,409,776,343
664,389,409,779,345
665,388,409,778,348
666,390,411,778,347
667,389,413,781,351
668,389,411,780,349
669,388,410,781,353
670,388,409,782,351
671,387,412,785,348
672,386,413,787,350
673,386,413,789,351
674,387,414,790,353
675,388,416,790,350
676,388,414,790,353
677,387,416,789,357
678,386,414,792,359
679,387,417,791,359
680,389,419,790,359
681,391,420,793,361
682,393,423,792,363
683,393,421,794,366
684,395,422,793,366
685,395,425,794,366
686,394,427,795,365
687,396,427,795,367
688,395,427,795,369
689,396,428,794,371
690,397,426,796,370
691,397,425,795,368
692,398,425,795,371
693,397,428,794,368
694,399,431,794,368
695,400,430,794,368
696,400,430,794,369
697,400,429,793,371
698,402,427,792,370
699,402,426,792,367
700,401,429,794,370
701,400,427,796,374
702,400,430,795,378
703,402,431,798,381
704,404,433,801,384
705,403,434,804,383
706,403,434,805,387
707,403,434,804,384
708,404,434,806,382
709,404,433,809,381
710,403,431,809,381
711,403,432,809,383
712,402,430,812,380
713,401,430,811,384
714,400,429,814,387
715,401,428,815,387
716,400,430,816,388
717,400,428,819,385
718,401,427,821,384
719,401,426,823,385
720,403,424,825,389
721,405,427,826,390
722,404,427,827,390
723,403,427,827,394
724,404,430,828,393
725,406,430,831,390
726,405,431,831,392
727,405,430,834,393
728,405,433,837,394
729,405,436,838,397
730,405,436,839,394
731,405,434,842,398
732,407,434,841,398
733,406,432,842,399
734,408,431,841,402
735,407,431,842,405
736,408,434,844,406
737,409,436,846,408
738,410,435,849,411
739,412,436,849,415
740,411,439,850,412
741,413,441,852,411
742,412,444,854,411
743,413,442,854,413
744,413,443,856,410
745,412,443,855,414
746,414,446,856,417
747,414,449,856,416
748,415,451,856,419
749,416,450,858,420
750,418,452,861,418
751,419,453,863,417
752,418,454,864,414
753,417,455,865,416
754,416,458,864,414
755,415,457,864,413
756,415,458,865,413
757,417,456,868,415
758,419,459,871,412
759,421,457,874,410
760,421,458,877,407
761,423,459,878,406
762,422,458,878,408
763,422,459,881,412
764,424,457,882,410
765,424,456,883,414
766,424,454,886,415
767,425,452,888,417
768,424,452,889,416
769,423,454,888,418
770,424,452,888,416
771,424,453,891,419
772,426,454,894,416
773,426,453,896,415
774,428,452,899,418
775,428,452,902,420
776,429,455,905,418
777,429,457,907,415
778,430,458,908,416
779,432,456,908,417
780,433,454,909,416
781,432,456,908,413
782,433,454,909,413
783,432,454,910,411
784,433,453,913,414
785,432,454,912,414
786,433,455,913,413
787,432,453,914,411
788,432,455,915,415
789,434,453,917,419
790,434,451,920,419
791,434,451,921,416
792,434,452,921,420
793,435,452,922,424
794,434,454,924,425
795,435,455,925,424
796,437,453,924,422
797,439,452,926,424
798,438,455,927,428
799,440,453,928,427
800,442,456,927,429
801,442,458,929,430
802,441,458,928,431
803,442,461,929,429
804,444,462,930,432
805,446,461,931,431
806,445,464,934,429
807,445,463,935,429
808,445,465,938,427
809,446,466,938,428
810,445,466,939,428
811,447,466,939,427
812,446,464,940,426
813,448,465,941,425
814,447,465,942,423
815,448,464,941,424
816,448,464,940,428
817,448,463,942,427
818,448,464,942,428
819,448,465,941,427
820,450,467,942,426
821,451,469,945,426
822,450,470,945,430
823,449,470,944,433
824,450,468,946,435
825,450,466,949,437
826,452,464,950,438
827,452,466,949,436
828,451,464,950,435
829,450,464,949,434
830,451,465,949,431
831,453,468,950,434
832,454,468,953,433
833,453,468,954,431
834,453,471,957,430
835,455,470,960,429
836,455,468,963,433
837,455,468,964,435
838,455,471,964,434
839,455,472,964,432
840,456,475,964,435
841,456,478,964,436
842,458,476,967,436
843,459,474,970,434
844,461,477,973,431
845,461,480,975,434
846,463,480,977,433
847,464,483,980,437
848,464,483,980,435
849,464,484,981,435
850,463,482,984,432
851,463,484,983,433
852,462,483,983,436
853,464,481,986,440
854,465,481,985,441
855,465,482,985,439
856,467,480,985,443
857,467,478,985,442
858,467,481,985,444
859,467,484,987,444
860,469,486,988,441
861,470,485,989,440
862,469,483,992,443
863,471,482,995,447
864,473,482,996,447
865,473,485,999,451
866,472,484,1002,452
867,473,483,1004,450
868,473,483,1003,449
869,474,481,1003,453
870,474,482,1006,457
871,473,485,1008,454
872,474,486,1008,458
873,475,485,1010,457
874,474,484,1012,458
875,475,485,1011,462
876,477,487,1014,460
877,476,487,1017,459
878,478,490,1017,458
879,478,491,1016,459
880,479,493,1019,463
881,480,496,1019,463
882,479,499,1018,464
883,478,501,1018,461
884,478,499,1019,463
885,478,497,1022,466
886,477,499,1023,464
887,477,498,1024,466
888,477,499,1023,464
889,476,499,1024,461
890,475,500,1023,458
891,474,499,1022,459
892,475,500,1025,456
893,476,502,1024,457
894,476,505,1023,455
895,476,505,1026,454
896,477,504,1028,456
897,478,505,1028,456
898,477,506,1029,455
899,478,505,1031,453
900,478,503,1033,450
901,480,506,1033,448
902,479,504,1034,449
903,478,506,1033,450
904,477,506,1032,452
905,476,506,1033,453
906,478,507,1033,453
907,480,508,1033,452
908,479,510,1033,453
909,479,508,1036,457
910,480,509,1037,454
911,482,507,1036,451
912,481,510,1038,449
913,480,513,1039,451
914,480,514,1042,448
915,479,514,1045,452
916,478,512,1046,450
917,479,510,1047,452
918,480,513,1046,455
919,480,515,1048,455
920,480,515,1047,452
921,482,517,1046,452
922,484,519,1046,455
923,485,521,1047,457
924,485,522,1048,456
925,484,522,1049,454
926,486,525,1049,455
927,488,524,1052,453
928,488,523,1055,452
929,488,525,1056,452
930,489,524,1055,451
931,490,522,1055,452
932,490,521,1057,454
933,492,519,1060,451
934,493,522,1062,450
935,493,520,1061,447
936,492,519,1064,449
937,494,521,1063,450
938,496,521,1066,452
939,497,521,1068,455
940,497,521,1069,453
941,499,520,1069,451
942,500,523,1071,448
943,501,526,1071,450
944,501,528,1070,450
945,502,529,1073,447
946,502,527,1075,444
947,503,528,1077,445
948,504,531,1076,443
949,505,534,1077,442
950,506,533,1080,445
951,508,531,1079,445
952,510,531,1080,444
953,510,531,1081,445
954,511,531,1080,445
955,511,530,1081,447
956,511,528,1080,445
957,513,527,1083,446
958,513,527,1085,448
959,514,525,1084,447
960,514,526,1085,447
961,513,526,1085,447
962,514,524,1085,445
963,514,524,1085,446
964,515,526,1084,443
965,516,524,1087,445
966,515,522,1090,444
967,515,521,1089,446
968,514,519,1088,448
969,513,520,1090,452
970,513,518,1090,451
971,513,519,1093,451
972,515,517,1093,451
973,516,519,1094,453
974,516,520,1093,457
975,516,521,1096,454
976,516,523,1099,454
977,515,523,1100,453
978,516,526,1102,456
979,515,525,1105,457
980,515,526,1108,454
981,516,524,1108,454
982,518,522,1107,452
983,517,522,1106,451
984,516,524,1106,455
985,517,526,1108,458
986,517,526,1111,460
987,519,529,1111,463
988,520,528,1111,465
989,522,528,1112,464
990,522,527,1111,463
991,522,526,1113,466
992,522,528,1116,470
993,522,531,1119,471
994,524,532,1119,472
995,525,532,1119,473
996,526,533,1118,471
997,526,536,1118,470
998,528,539,1117,468
999,530,540,1120,466
1000,530,538,1120,470
1001,532,540,1120,470
1002,531,542,1119,471
1003,533,544,1119,471
1004,535,543,1122,473
1005,534,543,1123,474
1006,536,545,1126,474
1007,537,544,1126,473
1008,536,542,1129,474
1009,538,542,1129,475
1010,539,541,1132,479
1011,538,541,1131,476
1012,540,544,1132,475
1013,541,544,1133,478
1014,540,546,1134,482
1015,542,545,1137,482
1016,544,548,1140,485
1017,544,551,1139,483
1018,544,553,1138,484
1019,544,552,1141,483
1020,544,553,1140,484
1021,543,551,1141,484
1022,542,552,1143,485
1023,542,555,1144,489
1024,544,556,1145,493
1025,543,559,1145,492
1026,544,558,1144,496
1027,545,560,1144,495
1028,547,559,1146,495
1029,549,562,1145,496
1030,548,564,1144,493
1031,548,566,1144,492
1032,548,567,1147,494
1033,548,565,1147,492
1034,547,565,1146,494
1035,549,568,1148,498
1036,551,571,1148,499
1037,551,571,1150,501
1038,552,573,1150,499
1039,551,571,1153,500
1040,553,571,1154,501
1041,552,570,1154,499
1042,554,568,1153,503
1043,553,568,1153,506
1044,552,567,1153,509
1045,554,569,1152,508
1046,556,568,1153,510
1047,556,569,1155,508
1048,558,570,1158,510
1049,560,568,1159,514
1050,560,569,1160,518
1051,560,568,1159,517
1052,561,566,1162,517
1053,562,564,1165,514
1054,563,565,1166,511
1055,565,565,1167,510
1056,566,568,1166,508
1057,568,570,1165,505
1058,570,570,1167,504
1059,569,569,1169,503
1060,568,567,1168,504
1061,569,565,1171,507
1062,570,567,1172,509
1063,569,569,1175,506
1064,568,569,1178,503
1065,568,570,1181,505
1066,568,569,1184,507
1067,567,571,1184,505
1068,569,570,1187,509
1069,568,570,1187,510
1070,568,572,1186,510
1071,569,572,1187,512
1072,571,570,1188,514
1073,572,569,1191,515
1074,572,570,1193,517
1075,572,573,1193,521
1076,574,571,1194,522
1077,575,571,1196,523
1078,577,574,1197,525
1079,578,576,1197,528
1080,580,578,1199,528
1081,580,580,1199,532
1082,581,583,1200,532
1083,582,581,1201,529
1084,582,581,1201,526
1085,584,580,1201,525
1086,583,582,1203,524
1087,585,581,1206,528
1088,585,584,1207,528
1089,584,585,1210,525
1090,583,586,1210,523
1091,585,586,1212,525
1092,586,586,1211,528
1093,588,589,1211,526
1094,588,590,1213,525
1095,588,588,1214,526
1096,590,589,1217,526
1097,591,588,1216,529
1098,590,589,1215,526
1099,590,589,1215,524
1100,590,592,1217,527
1101,590,593,1220,529
1102,592,596,1219,533
1103,594,596,1220,530
1104,595,599,1223,527
1105,595,598,1223,529
1106,594,599,1223,528
1107,593,600,1224,528
1108,595,600,1225,531
1109,596,603,1227,529
1110,596,603,1229,531
1111,597,603,1231,533
1112,597,606,1232,533
1113,598,606,1232,536
1114,600,605,1231,534
1115,601,606,1234,537
1116,603,608,1233,534
1117,602,606,1234,532
1118,602,607,1234,534
1119,603,608,1234,531
1120,605,608,1236,528
1121,604,608,1238,526
1122,603,608,1240,525
1123,603,609,1243,524
1124,604,608,1246,525
1125,604,608,1246,528
1126,606,608,1245,526
1127,605,606,1246,524
1128,605,608,1249,523
1129,605,610,1249,520
1130,605,613,1250,522
1131,604,612,1252,521
1132,605,611,1251,524
1133,605,613,1254,521
1134,607,613,1255,522
1135,606,615,1256,524
1136,607,618,1255,528
1137,607,619,1255,529
1138,609,622,1256,527
1139,611,625,1257,530
1140,613,625,1257,531
1141,613,627,1258,530
1142,613,630,1261,527
1143,614,632,1264,525
1144,615,631,1264,527
1145,616,629,1264,530
1146,618,632,1267,531
1147,620,635,1270,533
1148,622,635,1271,534
1149,622,635,1271,533
1150,624,634,1273,537
1151,625,633,1272,534
1152,625,631,1275,531
1153,625,629,1276,530
1154,627,628,1279,527
1155,628,627,1280,530
1156,628,628,1283,530
1157,629,627,1286,531
1158,628,625,1285,531
1159,629,624,1286,533
1160,628,622,1287,531
1161,628,620,1287,534
1162,628,621,1289,534
1163,630,619,1289,533
1164,632,618,1288,535
1165,634,617,1287,534
1166,635,615,1288,535
1167,634,617,1288,537
1168,634,616,1287,541
1169,635,614,1289,541
1170,635,613,1288,538
1171,636,615,1289,538
1172,638,613,1290,541
1173,637,612,1289,544
1174,636,615,1290,547
1175,638,615,1289,550
1176,640,618,1291,550
1177,642,621,1292,549
1178,642,619,1291,547
1179,641,620,1291,550
1180,640,622,1293,553
1181,640,622,1296,550
1182,641,622,1296,550
1183,642,622,1297,550
1184,641,625,1299,554
1185,640,624,1300,554
1186,640,626,1299,558
1187,640,625,1300,556
1188,639,625,1299,559
1189,640,625,1301,560
1190,639,624,1300,563
1191,638,627,1299,566
1192,640,625,1301,566
1193,640,626,1301,569
1194,641,626,1302,570
1195,641,626,1301,567
1196,640,625,1302,565
1197,639,624,1302,568
1198,641,622,1304,568
1199,642,621,1304,569
1200,642,623,1304,568
1201,643,625,1303,565
1202,642,625,1303,563
1203,642,624,1302,560
1204,643,624,1303,564
1205,644,622,1304,567
1206,644,620,1303,571
1207,644,623,1306,572
1208,646,626,1308,571
1209,647,624,1309,571
1210,648,624,1309,574
1211,649,625,1308,575
1212,649,624,1307,576
1213,651,623,1307,573
1214,651,624,1307,571
1215,652,624,1307,568
1216,654,624,1307,565
1217,656,623,1307,562
1218,655,623,1306,563
1219,656,624,1309,564
1220,655,624,1309,562
1221,655,627,1309,566
1222,655,628,1312,565
1223,656,630,1312,564
1224,655,628,1312,564
1225,655,626,1315,562
1226,654,628,1315,564
1227,656,630,1315,567
1228,658,633,1314,570
1229,657,631,1316,568
1230,659,633,1318,568
1231,658,636,1320,572
1232,660,639,1320,575
1233,660,639,1319,577
1234,659,639,1319,576
1235,658,640,1318,580
1236,659,642,1320,577
1237,660,640,1322,577
1238,662,640,1321,577
1239,661,639,1323,577
1240,661,641,1325,576
1241,662,643,1325,575
1242,664,645,1326,579
1243,663,648,1326,576
1244,664,649,1325,577
1245,666,651,1326,577
1246,666,652,1327,580
1247,666,655,1327,583
1248,667,658,1330,581
1249,667,661,1331,585
1250,667,662,1333,586
1251,668,660,1334,586
1252,668,662,1333,584
1253,670,665,1332,585
1254,670,665,1335,588
1255,671,668,1334,590
1256,673,669,1336,592
1257,672,670,1335,589
1258,672,670,1335,589
1259,674,668,1335,592
1260,675,671,1335,594
1261,677,672,1334,592
1262,678,675,1336,589
1263,679,677,1337,593
1264,681,675,1340,597
1265,680,677,1339,596
1266,681,677,1338,598
1267,682,676,1340,601
1268,682,675,1339,598
1269,681,678,1342,601
1270,683,676,1341,602
1271,685,677,1342,602
1272,684,677,1343,606
1273,684,678,1345,606
1274,686,681,1344,603
1275,685,683,1346,602
1276,685,681,1345,606
1277,684,681,1347,606
1278,685,682,1348,610
1279,687,680,1350,610
1280,688,679,1352,614
1281,687,677,1355,617
1282,688,679,1358,620
1283,690,678,1360,623
1284,689,678,1362,621
1285,688,676,1363,623
1286,690,677,1363,626
1287,689,675,1364,628
1288,690,673,1365,629
1289,690,671,1365,631
1290,689,671,1364,632
1291,689,673,1366,636
1292,688,674,1366,633
1293,690,673,1368,635
1294,689,676,1368,632
1295,688,679,1369,633
1296,688,678,1372,634
1297,689,679,1374,635
1298,690,681,1377,639
1299,690,684,1378,637
1300,690,683,1377,638
1301,690,686,1379,635
1302,692,684,1382,638
1303,694,685,1381,638
1304,693,683,1380,636
1305,692,684,1379,637
1306,691,685,1379,635
1307,692,684,1382,638
1308,692,686,1381,639
1309,694,685,1383,640
1310,693,687,1382,637
1311,695,686,1384,640
1312,694,686,1383,641
1313,693,686,1386,641
1314,693,687,1386,640
1315,692,689,1389,639
